,CustomerID,Freq,SaleAmount,ElapsedDays,Freq_log,SaleAmount_log,ElapsedDays_log,ClusterLabel
0,12346,1,77183.6,326,0.693147181,11.25395523,5.789960171,0
1,12347,182,4310,3,5.209486153,8.368925175,1.386294361,1
2,12348,31,1797.24,76,3.465735903,7.494563688,4.343805422,0
3,12349,73,1757.55,19,4.304065093,7.472244885,2.995732274,1
4,12350,17,334.4,311,2.890371758,5.815323849,5.743003188,3
5,12352,85,2506.04,37,4.454347296,7.826858053,3.63758616,0
6,12353,4,89,205,1.609437912,4.49980967,5.327876169,3
7,12354,58,1079.4,233,4.077537444,6.985086622,5.455321115,0
8,12355,13,459.4,215,2.63905733,6.132095677,5.375278408,3
9,12356,59,2811.43,23,4.094344562,7.941804157,3.17805383,1
10,12357,131,6207.67,34,4.882801923,8.733701981,3.555348061,1
11,12358,19,1168.06,2,2.995732274,7.063955286,1.098612289,2
12,12359,245,6310.03,58,5.505331536,8.750054175,4.077537444,1
13,12360,129,2662.06,53,4.86753445,7.887231117,3.988984047,0
14,12361,10,189.9,288,2.397895273,5.251749731,5.666426688,3
15,12362,266,5226.23,4,5.587248658,8.56163678,1.609437912,1
16,12363,23,552,110,3.17805383,6.315358002,4.709530201,0
17,12364,85,1313.1,8,4.454347296,7.1809073,2.197224577,1
18,12365,22,641.38,292,3.135494216,6.465180029,5.680172609,3
19,12367,11,168.9,5,2.48490665,5.135210029,1.791759469,2
20,12370,166,3541.94,52,5.117993812,8.17271217,3.970291914,1
21,12371,63,1887.96,45,4.158883083,7.543781692,3.828641396,0
22,12372,52,1298.04,72,3.970291914,7.169380809,4.290459441,0
23,12373,14,364.6,312,2.708050201,5.90153984,5.746203191,3
24,12374,33,742.93,26,3.526360525,6.611946944,3.295836866,2
25,12375,17,457.5,11,2.890371758,6.127960292,2.48490665,2
26,12377,77,1628.12,316,4.356708827,7.395795271,5.758901774,0
27,12378,219,4008.62,130,5.393627546,8.296451753,4.875197323,0
28,12379,40,852.24,82,3.713572067,6.749040868,4.418840608,0
29,12380,104,2724.81,22,4.65396035,7.910520911,3.135494216,1
30,12381,87,1845.31,5,4.477336814,7.520944332,1.791759469,1
31,12383,99,1850.56,185,4.605170186,7.523783806,5.225746674,0
32,12384,27,585.27,29,3.33220451,6.373780434,3.401197382,2
33,12386,10,401.9,338,2.397895273,5.998688392,5.826000107,3
34,12388,100,2780.66,16,4.615120517,7.930803151,2.833213344,1
35,12390,32,549.84,80,3.496507561,6.311444386,4.394449155,0
36,12391,93,439.66,22,4.543294782,6.088273603,3.135494216,2
37,12393,64,1582.6,73,4.17438727,7.367456015,4.304065093,0
38,12394,27,1272.48,64,3.33220451,7.14950859,4.17438727,0
39,12395,156,3018.63,20,5.056245805,8.012889586,3.044522438,1
40,12397,126,2409.9,36,4.844187086,7.787755401,3.610917913,1
41,12398,85,1635.66,46,4.454347296,7.400412859,3.850147602,0
42,12399,59,1108.65,120,4.094344562,7.011799929,4.795790546,0
43,12401,5,84.3,304,1.791759469,4.446174454,5.720311777,3
44,12402,11,225.6,324,2.48490665,5.423186349,5.783825182,3
45,12403,5,427.7,50,1.791759469,6.060757374,3.931825633,3
46,12405,54,1710.39,149,4.007333185,7.445061185,5.010635294,0
47,12406,105,3415.3,23,4.663439094,8.136313373,3.17805383,1
48,12407,77,1708.12,50,4.356708827,7.443733897,3.931825633,0
49,12408,105,2888.55,33,4.663439094,7.96885606,3.526360525,1
50,12409,109,11072.67,79,4.700480366,9.312325497,4.382026635,1
51,12410,26,693.33,309,3.295836866,6.542947352,5.736572297,0
52,12412,61,1226.88,75,4.127134385,7.113044384,4.33073334,0
53,12413,38,758.1,67,3.663561646,6.632133521,4.219507705,0
54,12414,18,562.41,218,2.944438979,6.334007605,5.38907173,3
55,12415,714,124914.53,25,6.572282543,11.73539303,3.258096538,1
56,12417,192,3649.1,4,5.262690189,8.202509843,1.609437912,1
57,12418,34,668.58,113,3.555348061,6.50665065,4.736198448,0
58,12420,29,600.39,64,3.401197382,6.399243643,4.17438727,0
59,12421,45,807.04,16,3.828641396,6.694611562,2.833213344,2
60,12422,39,803.56,96,3.688879454,6.690295544,4.574710979,0
61,12423,125,1859.31,1,4.836281907,7.528498419,0.693147181,1
62,12424,30,1760.96,163,3.433987204,7.474182105,5.099866428,0
63,12425,36,777.2,79,3.610917913,6.656983561,4.382026635,0
64,12426,30,582.73,195,3.433987204,6.369438547,5.278114659,0
65,12427,31,825.8,22,3.465735903,6.717562828,3.135494216,2
66,12428,294,7956.46,26,5.686975356,8.981865132,3.295836866,1
67,12429,97,3750.4,10,4.584967479,8.229884383,2.397895273,1
68,12430,11,256.4,44,2.48490665,5.550631295,3.80666249,3
69,12431,234,6419.95,36,5.459585514,8.767321361,3.610917913,1
70,12432,108,5059.32,43,4.691347882,8.529185001,3.784189634,1
71,12433,420,13375.87,1,6.042632834,9.501282375,0.693147181,1
72,12434,50,806.14,85,3.931825633,6.693497135,4.454347296,0
73,12435,36,7829.89,80,3.610917913,8.965831448,4.394449155,0
74,12436,16,509.01,100,2.833213344,6.234430333,4.615120517,3
75,12437,199,4951.41,2,5.298317367,8.507629606,1.098612289,1
76,12438,98,2906.85,15,4.59511985,7.975169255,2.772588722,1
77,12441,11,173.55,367,2.48490665,5.162211234,5.908082938,3
78,12442,12,172.06,4,2.564949357,5.153638355,1.609437912,2
79,12444,176,5005.46,22,5.176149733,8.518484358,3.135494216,1
80,12445,4,133.4,23,1.609437912,4.900820428,3.17805383,3
81,12446,57,1002.31,58,4.060443011,6.911059813,4.077537444,0
82,12447,26,476.49,244,3.295836866,6.168543217,5.501258211,3
83,12448,22,449.45,45,3.135494216,6.110247083,3.828641396,2
84,12449,191,4067.29,23,5.257495372,8.310978043,3.17805383,1
85,12450,8,197.88,157,2.197224577,5.292701628,5.062595033,3
86,12451,354,9035.52,11,5.872117789,9.109029424,2.48490665,1
87,12452,22,430.57,17,3.135494216,6.067429722,2.890371758,2
88,12453,43,707.09,135,3.784189634,6.562571204,4.912654886,0
89,12454,15,3528.34,57,2.772588722,8.168866164,4.060443011,0
90,12455,90,2466.86,74,4.510859507,7.811106657,4.317488114,0
91,12456,125,3181.04,45,4.836281907,8.06527778,3.828641396,1
92,12457,62,2363.23,67,4.143134726,7.768207667,4.219507705,0
93,12458,38,947.4,72,3.663561646,6.854776354,4.290459441,0
94,12461,35,826.88,95,3.583518938,6.718868216,4.564348191,0
95,12462,62,1189.59,19,4.143134726,7.082204262,2.995732274,2
96,12463,83,1344.78,54,4.430816799,7.20472905,4.007333185,0
97,12464,29,1212.05,11,3.401197382,7.100893128,2.48490665,2
98,12465,47,742.19,18,3.871201011,6.610951732,2.944438979,2
99,12468,38,729.54,188,3.663561646,6.593783987,5.241747015,0
100,12471,459,19788.65,3,6.131226489,9.892914353,1.386294361,1
101,12472,339,6572.11,33,5.828945618,8.790742363,3.526360525,1
102,12473,167,3928.05,30,5.123963979,8.276152945,3.433987204,1
103,12474,422,7324.09,18,6.047372179,8.89906072,2.944438979,1
104,12475,36,723.38,54,3.610917913,6.585316117,4.007333185,0
105,12476,233,6816.42,16,5.455321115,8.82723638,2.833213344,1
