,title,description,title_label,description_label
0,박형준 부산시장   수도권 일극 체제 심화 글로벌 허브도시 부산 , 정년 도 기존 만  세에서 만  세로  년  연장 됐다  이는 당초 노사가 월 임금   인상과 성과상여금의 통상임금 반영을 두고 첨예하게 대립해 오다 지방노동위원회의 조정안을 양측이 수용하면서 극적 합의한 것이다  ,0,0
1,부산 시내버스 파업  시간 만에 종료 창원은 여전히  운행 중단 ,노사는 지난해  월 대법원 판결에 따른 정기 상여금의 통상임금 반영  임금   인상   정년   세  연장  준공영제  호봉 폐지  하계휴가비  학자금  명절 보너스 추가 요구 등을 두고 협상을 벌였다  갈등이 큰 부분은  ,0,0
2,부산 시내버스 노사협상 타결 운행 정상화,통상임금에 포함하는 방향으로 임금체계를 개편하기로 했다  이를 반영해 임금은   인상하기로 했으며   정년 은 만  세로  년  연장 했다  노사 합의에 따라 이날 첫 차부터 운행을 중단한 노조는 버스 파업을 철회했다 ,1,0
3,광주 시내버스 노사 조정회의 중 파업 초읽기,노사는 오늘 일  오후  시부터 광주지방고용노동청에서 임금 인상과  정년 연장  등 주요 쟁점에 대해 제 차 조정회의를 진행하고 있습니다  조정회의 기한은 오늘 자정까지로  이 기한을 넘기면 조정이 중지되고 노조는  ,0,0
4,파업은 유보  교섭은 장기화,기본급을 동결하는 대신  쟁점이었던 정기 상여금은 시급에 반영해  가량 임금 인상 효과가 나도록 협의했고   정년 은  연장  없이  세를 유지하기로 했습니다  다만 퇴직금에 대한 이견을 좁히지 못하고 추가 교섭을  ,0,0
5, 년 만에 버스 파업 반나절 만에 철회,또  기사  정년 을 만  살로  년  연장 하기로 했습니다   박성훈 부산지역버스노동조합 위원장    지노위 지방노동위원회  조정위원들의 큰 협조가 있었고 그분들의 말씀에 일리가 있었기 때문에 저희는 흔쾌히  부산시는  ,1,0
6,창원 시내버스 준공영제 도입 후 두 번째 멈춤,노사는 지난해  월 대법원 판결에 따른 정기 상여금의 통상임금 반영  임금   인상   정년   세  연장  등을 두고 접점을 찾지 못한 것으로 알려졌다  특히 갈등을 빚는 부분은 통상임금 부분이다  사측은 통상임금  ,0,0
7,책임 막중해진 국가 복지 이재명  보편  김문수  선별 대 대선 ,노년층을 향해선 국민연금 수급연령에 맞춘 법정  정년 연장 을 단계적으로 추진하겠다고 밝혔다  김 후보는 청년층 불만을 고려해  국민연금  차 개혁 에 착수하겠다고 공약했다  연금개혁위원회에 청년층 참여를  ,0,0
8,버스 파업  시간 만에 복귀  출근길 혼란, 부산지방노동위원회가 제시한 조정안을 양측 모두 수락하셨습니다  상여금을 없애고 기본급을 인상하는 방식으로임금 체계를 바꾸면서결과적으로 총임금이   인상되고 정년 도  년  연장 하는 걸로 합의가  ,0,0
9,이재명  사전투표 전날 정책 공약집 발표 사법 기재부 개편 등 담겨,이 밖에 상법개정안 처리와 법정  정년   세 단계적  연장  등도 담겼다  이 후보는 해당 공약을 임기 내 이행하는 데 필요한 재원을 약  조 원으로 추산했다  이 후보는  재정 지출을 과도하게 수반하는 공약은 하기 어려워  ,1,0
10, 현대삼호    임금교섭 상견례 본격 협상 돌입,지난  일 진행된 상견례에서 노조는 기본급  만  원 인상   정년 연장  등 조선  사 공동 요구안과 함께 휴가비 인상  야간근무자 처우 개선 등 개별 요구안을 제시했습니다  지난  분기 역대급 매출과 영업이익을  ,0,1
11, 시내버스 파업  잠시 멈췄다  내달  일까지 협상  연장 ,또 단협에서  정년 은 만 세에서 만 세로  년  연장 했다  부산시의 이번 타결은 노사가 노동위원회에서 제시한 조정안을 수락하면서 이뤄졌다  울산 시내버스 노사도 조정 연장 기간 협상 안 을 준비할 것으로 보인다  또 이  ,1,0
