,title,title_label,description,description_label
0, 현대삼호    임금교섭 상견례 본격 협상 돌입,0,지난  일 진행된 상견례에서 노조는 기본급  만  원 인상   정년 연장  등 조선  사 공동 요구안과 함께 휴가비 인상  야간근무자 처우 개선 등 개별 요구안을 제시했습니다  지난  분기 역대급 매출과 영업이익을  ,1
1, 시간 멈춘 부산 시내버스  임금   이상 올려 파업 풀었다,0,부산시 등에 따르면  부산 시내버스 노사는 이날 물밑 협상을 벌인 끝에 기본급   인상   정년   세에서  세로  연장  임금 체계 개편 등 임금 단체협약 합의안에 사인했다  전국의 버스 노사가 정기 상여금을  ,1
2, 사설  시민 담보로 한 버스 파업진통 되풀이 안된다,0,막판 교섭에서 노조는  시급   인상  정년  현  세에서  세로  연장   버스 준공영제 협약 이행 등의 안건을 협상 테이블에 올렸다  사측은 재정 부담 등을 이유로 노조측의 이해를 호소하다 상당 부분 양보를 했다는  ,1
3, 대선공약     모든 노동자 권리보장 기본법       중대재해처벌법  ,1, 정년 에 이른 근로자에 대해 기존 근로계약을 종료한 뒤 임금 조정 후 다시 고용하도록 하는 계속고용 방안과  주  시간제의 유연성을 강화하고자  연장 근로 단위를 확대하고 고소득 전문직 근로자를 제외하는 정책이  ,1
4,울산시내버스 노사  최종 조정 결론 도출  월  일로 연기,0,울산버스노조는 올해 임단협에서  기본급   인상  정년 연장 세 세   퇴직금 확보 방안 마련  상여금의 통상임금 편입  준공영제 협약 이행 등을 요구하고 있다  이에 대해 버스회사 측은 재정난을 이유로  ,1
5,현대차 노조 올 임단협 시작부터  험로 예고 ,0,현대자동차 노사가 올해 임금 및 단체협상을 앞둔 가운데  노조가 올해 기본급 인상과 전년도 순이익   성과급 지급   정년 연장  등을 사측에 요구하기로 했다  현대자동차 노조는  일 북구 현대차문화회관에서  ,1
6, 사설  또 멈춰선 창원 시내버스  시민 불편 가중,0,노사는 상여금  임금   정년 연장  등을 두고 접점을 찾다 협상이 결렬되면서  일 첫차부터 시내버스  개사  대의 운행이 중단된 것이다   대는 창원시내버스  에 해당한다  창원시내버스 노사는 지난해  월 대법원  ,1
7,울산 시내버스  운행중단 최악 사태는 면했다,0,노조 요구안건 중  세  정년연장 과  준공영제 협약 이행 등 다수의 제시안도 추후에 다시 협상하도록 미뤄뒀다  다만 노사는 합의안 도출 과정에서 매년 숙원으로 남겨온  미지급된 복지기금 과  미적립 퇴직연금 을  ,1
8, 사설   년 만에 멈춘 시내버스 노사 부산시 책임 통감해야,0, 정년 은 만  세로  년  연장 한다  노사는 그동안 임금   인상과 성과상여금의 통상임금 반영을 두고 견해차를 보였다  임금이 오른 만큼 부산시 부담이 커진다  부산시는 준공영제 시행으로 매년 시내버스 운영 적자를  ,1
9,연금개혁 공약 이재명  사각지대 해소    김문수  이차개혁 ,0,노인을 향해 연금 수급연령에 맞춘 법정 정년연장 을 단계적으로 추진하겠다고도 밝혔다  김문수 국민의힘 후보는  일  토론에서  국민연금 이차개혁 에 착수하겠다고 약속했다  연금개혁위원회에 청년이 참여하게 하고  ,1
10,  관세폭탄 비상인데 주  일제  꺼낸 현대차 노조,0,현대자동차 노동조합이 올해 임금 및 단체협약 임단협 에서  주  일 근무제 와  정년 연장 세 최장  세  등을 사측에 요구하기로 했다  국내에서 가장 많은 조합원을 거느린 현대차 노조가 이 카드를 꺼내자  ,1
11, 차라리  부 만들어라 과학 빠진 대선 공약 과학자들  쓴소리 ,0,위한  정년 연장  등을 적극 추진하겠다고 밝혔다  조용민 위원장은   연구개발에 필수적인   확보를 위해 외국 클라우드 기업이 한국에 데이터센터를 설립하도록 해   를 대거 투입을 유도하고  데이터 특구 조성과   ,1
12, 중도일보 독자권익위  월 정례회   대선 이후  충청권 공약이행 점검  ,0,방 위원은 대선 주요의제에 대해  일제  주 시간제 도입에 대해선 반대 입장이지만   정년연장 은 국민연금 고갈 문제로 점진적으로 시행해야 할 필요가 있다고 생각한다 면서  다만  임금은 정부 주도로 현실적인  ,1
13, 로터리  고령화 사회의 역발상,1,출산 장려책   정년 연장  사회보장 강화  외국 인력 수입 등 저출생 고령화에 대한 여러 가지 대책이 제시되고 있다  아이를 많이 낳고 잘 키워서 사회를 젊게 만들려는 노력이 필요하지만 한편으로는 우리 사회가  ,1
14,울산 시내버스 파업 보류 내달  일까지 노사합의 계속,1,노조는 기본급   인상   정년 연장 세  정기상여금의 통상임금 포함 등을 요구하고 있다  하지만 정기상여금의 통상임금 반영 여부를 두고 여전히 이견을 보여 협상에 난항을 겪었다  앞서 노조는 이날 새벽  시 분께  ,1
15,울산 시내버스 노사 교섭 시한  연장   월  일까지 정상 운행,0,노조는 올해 임단협에서  기본급   인상  정년 연장 세 세   퇴직금 확보 방안 마련  상여금의 통상임금 편입  준공영제 협약 이행 등을 요구하고 있다  회사 측은 재정 여건과 노선 운영 현실 등을 이유로  ,1
16,성과급 통상임금에 포함 첫 사례 출현에 기업들  초비상    인건비    ,1,이를 반영해 내년부터 총임금은   인상되며   정년 도  세에서  세로  년  연장 된다  이번 개편은 전국적으로 확산하고 있는 통상임금 논의에 선례로 남게 됐다  지난해  월 대법원이  정기상여금도 통상임금에  ,1
17,비상 계엄 다신 없도록  민주당  계엄권 견제 담은 대선공약 발표,0,자녀 수에 따라 분양권 환급 감면을 추진하겠다고 약속했다  이 후보의 대표적인 공약 중 하나인  일제 추진도 이번 공약집에 담겼다  또 법정  정년 을  세까지 단계적으로  연장 하는 안을 올해 중 입법 추진하겠다고 했다 ,1
18,울산 시내버스 노사   시간 마라톤 협상 마무리 내달  일 재교섭,0,특히 이날 오후 부산 시내버스 노사가 마련한 기본급   인상   세에서  세로  정년 연장  성과상여급과 하계휴가비를 폐지하고 임금체계를 개선하는 등의 내용이 합의안이 울산 시내버스 노사 협상에도 영향을  ,1
19, 이재명 공약집   정년연장  연내 입법  노동 공약 대거 추가  대선  ,1, 회복과 성장을 위한  정년연장   태스크포스 를 구성해 노사와 시민사회가 논의한 뒤 연내에 입법을 추진한다는 계획입니다  이를 위한 범정부 지원체계와 임금체계  근로시간 개선 관련한 노사자율합의 지원체계도  ,1
20,이랜드노조  비상경영 인력 전환 배치 부당 특별관리감독 필요 ,0,노조에 따르면 현재 회사 측은  정년 연장  법안 발의를 앞두고 희망퇴직을 받거나 관리직 직원들에게 물류센터로 발령을 강행하는 방식으로 구조조정을 시도하고 있다  노조는  특히  년생 관리직 직원 일부에게  ,1
21, 기본급  만원인상  요구안 전달   현대삼호 노사  올해 임금협상 돌 ,1,회사에 전달된  현대 조선 사 공동요구안에는  기본급  만 원 인상  정년 연장   성과급 산출기준 변경 등의 내용이 담겼다  이와 함께  현대삼호 노조의 개별 요구안에는  하기휴가비 인상  통상임금  ,1
22, 현대삼호 노조  기본급  만  원 인상 요구 년 임금 협상 돌입,0,회사에 전달된  현대 조선  사 공동 요구안에는  기본급  만  원 인상  정년 연장   성과급 산출기준 변경 등의 내용이 담겼다   현대삼호 노조의 개별 요구안에는  하기 휴가비 인상  통상임금 적용범위 확대  ,1
